tortured_phrase,expected_phrase,num_papers
"""roundabout brain networks""",recurrent neural networks,1
"""tick audience""",a checkbox,1
"""mean squared botch""",mean squared error,1
"""first-man or woman view""",first person view (FPV),1
"""feed-forward cerebrum network""",feed forward neural network,1
"""fourth request Legendre""",fourth-order Legendre (parameters),1
"""fringe alternately side dream""",peripheral vision ?,1
"""Ox-like Spongiform Encephalopathy (BSE)""",Bovine Spongiform Encephalopathy (BSE),1
"""voronoi adornment""",Voronoi tesselation ?,1
"""urban inexperienced space""",urban green space,1
"""remote for patient observation""",remote patient monitoring,1
"""brilliant field the board""",smart field management,1
"""straightforward administration revelation Protocol""",Simple Service Discovery Protocol (SSDP),1
"""considered time postpone neural system""",factored time delay neural network (TDNN-F),1
"""equivocalness connection order (ACC)""",(?),1
"""wrong data implantation ambushes""",false data injection attacks (FDIAs),1
"""presentation hope UTAUT""~10","performance expectancy, see https://en.wikipedia.org/wiki/Unified_theory_of_acceptance_and_use_of_technology",1
"""corrosive iminodiacetic""",Iminodiacetic acid,1
"""monetary and execution articulation""",financial and performance,1
"""cathode territory""",electrode/cathode area,1
"""significant convolution mind network""",deep convolutional neural network,1
"""Kullback-Leibler remove""",Kullback-Leibler divergence,1
"""gullible Naive-Bayes""",Naive Bayes,1
"""meta-hybrid GIA functional""",meta-hybrid GGA functional,1
"""client the board model""",user management system,1
"""concealed synapse""",hidden neuron,1
"""reenactments of the hydrodynamic radiation (R-HD)""",(?),1
"""stronghold vector""",support vector [machine] (SVM),1
"""Organization for the Advancement of Structured Data Standards""",Organization for the Advancement of Structured Information Standards,1
"""pre-prepared neural classifier""",pre-trained neural classifier,1
"""office of veterans admittance to mind""",Office of Veterans Access to Care (OVAC),1
"""urogenital parcel""",urogenital tract,1
"""down inspected"" AND ""down-sampled""",down-sampled,1
"""amiable prostatic hypertrophy""",benign prostatic hypertrophy (BPH),1
"""gooey protections""",sticky protections,1
"""forcefully screen""",aggressively monitor,1
"""performance center key controller""",theatre key controller,1
"""fast contingent shared data""",full conditional mutual information maximization (FCMIM),1
"""incremental sales strategies""",cross-selling,1
"""man‑in‑the‑iddle""",man in the middle (MitM),1
"""sound source confinement""",sound source localization,1
"""spherical-the-clock entry""",round-the-clock access,1
"""likelihood dispersion capability""",probability distribution function (PDF),1
"""honest to goodness economy""",real economy,1
"""handwritten digit reputation""",handwritten digit recognition,1
"""brought together learning body""",Integrated Knowledge Network ?,1
"""stoutness of FOC""",robustness of FOC,1
"""result tensor cradle""",output tensor buffer,1
"""unveiling of traffic signs""",traffic sign detection,1
"""discourse molded clamor""",speech shaped noise,1
"""directional tomahawks""",directional axes (e.g. in a graph),1
"""info tensor cushion""",input tensor buffer,1
"""Nonnegative Segmental Matrix Factorization""",Sparse Nonnegative Matrix Factorization (SNMF),1
"""intermittent neural same""",recurrent neural network (?),1
"""profound encyclopedism""",deep learning,1
"""characteristic specific graph""",abstract semantic graph (ASG),1
"""dumping of near-hazardous dynamics (DLU)""",(?),1
"""section and retrogression undertakings""",classification and regression tasks,1
"""RBF Part strategy""",RBF kernel method,1
"""bamboozle both the universes""",Anomalous Interaction,1
"""board element origin test""",panel unit root test,1
"""trim malady expectation""",crop disease expectation,1
"""moo recurrence extend""",low frequency range,1
"""answerable for pneumonia""",responsible for pneumonia,1
"""digital dual (DT)""",???,1
"""insightful objective flowing""",Analytical Target Cascading (ATC),1
"""contrast-upgrade calculation""",contrast enhancement algorithm,1
"""Mel Frequence Cepstral Portions""",Mel Frequency Cepstral Coefficients,1
"""period postpone neural""",time delay neural (network),1
"""bound together states of America""",USA,1
"""time-dubious applications""",time-sensitive applications,1
"""multilayer small scale strip fix reception apparatus""",microstrip patch antenna,1
"""scientific photo type duties""",medical image classification tasks,1
"""fluffy smoothing channel""",fuzzy smoothing channel,1
"""blunder gathering""",error rate,1
"""counterfeit expected field""",artificial potential field (APF),1
"""organization method statistics coping with""",Group Method of Data Handling,1
"""obliged trio misfortune layer (CTLL)""",constrained triplet loss layer (CTLL),1
"""moo weight plasma splash""",low pressure plasma spraying,1
"""direct account gear""",direct-recording electronic (DRE) [voting machine],1
"""Key Segment Analysis (PCA)""",Principal Component Analysis (PCA),1
"""move-gadget sharing""",cross-platform (or system) sharing,1
"""ground-truth names (comments)""",ground-truth labels,1
"""smaller scale strip fix antenna""",microstrip patch antenna,1
"""dichloroacetic corrosive""",dichloroacetic acid,1
"""transcribed person recognition""",handwritten character recognition,1
"""cutting edge canny transport frameworks""",Intelligent Transport System (ITS),1
"""dazzle XSS""",blind XSS (cross-site scripting),1
"""elegant imbalanced dataset""",class-imbalanced dataset,1
"""seditious breast cancer""",inflammatory breast cancer,1
"""reckoned axial tomography""",computerized axial tomography (CAT),1
"""backward propagation crimes""",???,1
"""sporadic neural system (RNN)""",recurrent neural network (RNN),1
"""HER2 (shaggy related 2)""",HER2 (hairy-related 2),1
"""half breed data-driven model""",hybrid data-driven model,1
"""versatile instructive eLearning framework""",Adaptive Educational eLearning System,1
"""atomic progression (MD)""",molecular dynamic,1
"""oily destructive""",fatty acid,1
"""shut ghastly fit""",???,1
"""total national production"" ADN ""GDP""",gross domestic product,1
"""expectation of collect yield""",prediction of crop yield,1
"""RFID Organise Organising""",RFID Network Planning,1
"""weighted component choice""",weighted feature selection,1
"""Henon confused scheme""",Henon chaotic system,1
"""Window 7 Supreme Operating Environment""",Windows 7 Ultimate operating system,1
"""proposed have a take a look at""",proposed study,1
"""word errors charge""",word error rate (WER),1
"""Waikoloa, Howdy, USA""","Waikoloa, HI, USA",1
"""bear vector engine""",support vector machine (SVM),1
"""during lessened weight""",under reduced pressure,1
"""Louis Pasteur Institute of Persia""",Louis Pasteur Institute of Iran,1
"""multi-supply statistics fusion""",multi-source data fusion,1
"""spoken language acknowledgment"" AND ""spoken language recognition""",spoken language recognition,1
"""bunch scanty portrayal""",group sparse representation (GSR),1
"""class of viciousness""",???,1
"""higher request crossing""",higher order crossing (HOC),1
"""from gentle to broad""",from mild to severe,1
"""substantial cerebral association""",deep neural network,1
"""straightly dispersed recurrence groups""",linearly distributed frequency bands,1
"""associatealog""",associate,1
"""multidomain bivariate strategy for unearthly neighborhood linearization""",Multi-Domain Bivariate Spectral Local Linearization Method (MD-BSLLM),1
"""clustered consistently interspaced""",clustered regularly interspaced short palindromic repeats (CRISPR),1
"""elective heading multiplier technique""",Alternating Direction Method of Multipliers (ADMM),1
"""work administration frameworks""",Job Management System (JMS),1
"""Acquaintance in Registered Nurse""",Associate in Nursing,1
"""phantom spatial system""",spectral-spatial framework,1
"""government flying organization""",Federal Aviation Administration (FAA),1
"""basal frame temperature""",basal body temperature (BBT),1
"""log range of discourse""",log spectrum of speech,1
"""practical memory illness""",functional memory disorder (FMD),1
"""larger part weighted minority over-testing method""",Majority Weighted Minority Oversampling Technique (MWMOTE),1
"""practice tolerance tests""",exercise tolerance tests (ETT),1
"""complex-esteemed Gaussian""",complex-valued Gaussian,1
"""fiery flagging pathways""",inflammatory signalling pathways,1
"""feathery logic""",fuzzy logic,1
"""chemical fume deterioration""",chemical vapor deposition,1
"""direct electronic chronicle""",direct-recording electronic (DRE) voting machine,1
"""bit per image (BPP)""",bits par pixel (bpp),1
"""wisconsin bosom malignant growth determination""",Wisconsin Breast Cancer Diagnosis?,1
"""oxides yielded from calcinations""",???,1
"""PC helped ID""",computer aided design (CAD),1
"""dim level multi-dimensional reliance network""",gray-level spatial dependence matrix (GLSDM),1
"""dispersing and retention of light""",scattering and absorption of light,1
"""maximum probability interpreting""",???,1
"""choice limit include extraction""",Decision Boundary Feature Extraction (DBFE),1
"""pix of inner body element""",images of internal organs,1
"""smart groups"" AND ""brilliant groups""",smart bands (i.e. fitness trackers),1
"""time-yield appraisal""",Time-Delay Estimation (TDE),1
"""Prophet information base""",Oracle database,1
"""Dark medium Earlier""",dark channel prior,1
"""set disseminating dynamic trees (SPIHT)""",set partitioning in hierarchical trees (SPIHT),1
"""unpredictable number esteemed yield picture""",complex number valued output image,1
"""insusceptibility quality of bacteriocin""",gene responsible for immunity to bacteriocin,1
"""COVID-19 superb""",COVID-19 positive,1
"""micros of company house windows""",Microsoft Windows,1
"""move popularity algorithm""",gait recognition algorithm,1
"""unapproved get right of passage""",unauthorized access,1
"""shadiness taking care of""",fog computing,1
"""optical reasonability tomtate""",optical coherence tomography,1
"""piecewise progressive linearization strategy""",Piecewise Successive Linearization Method (PSLM),1
"""herbal coal""",natural carbon,1
"""anisidine esteem""",anisidine value,1
"""evacuation of inserts""",removal of implants,1
